title,artist,album,dance,genre,mood,timbre,instrumental,loudness,bpm
"['String Quartet No. 6 In F Minor, Op. 80: I. Allegro Vivace Assai']",['Felix Mendelssohn'],['The Complete String Quartets (Disc3)'],"{'danceable': 0.0219021942466, 'not_danceable': 0.97809779644}","{'cla': 0.985107779503, 'dan': 0.000910047499929, 'hip': 0.00116065843031, 'jaz': 0.00913296546787, 'pop': 0.00038660041173, 'rhy': 0.00177037518006, 'roc': 0.000852680299431, 'spe': 0.000678879499901}","{'Cluster1': 0.0734370425344, 'Cluster2': 0.0625508502126, 'Cluster3': 0.228255033493, 'Cluster4': 0.0412344820797, 'Cluster5': 0.594522595406}","{'bright': 0.886786699295, 'dark': 0.113213308156}","{'instrumental': 0.999996900558, 'voice': 3.07320783577e-06}",0.0643112659454,172.266021729
['Pieces of My Heart'],['Jasmin Tabatabai'],['Only Love'],"{'danceable': 0.684286534786, 'not_danceable': 0.315713465214}","{'cla': 0.00414580386132, 'dan': 0.0211937781423, 'hip': 0.0479521788657, 'jaz': 0.0252354182303, 'pop': 0.332025021315, 'rhy': 0.359520405531, 'roc': 0.205239996314, 'spe': 0.00468738842756}","{'Cluster1': 0.200302749872, 'Cluster2': 0.280466616154, 'Cluster3': 0.0988517701626, 'Cluster4': 0.10306263715, 'Cluster5': 0.317316234112}","{'bright': 0.43995448947, 'dark': 0.560045540333}","{'instrumental': 0.263576775789, 'voice': 0.736423194408}",0.898251652718,97.9199371338
['I Pull My Gun Once'],['Jam & Spoon feat. Plavka'],['Kaleidoscope Skies'],"{'danceable': 0.998494684696, 'not_danceable': 0.00150529528037}","{'cla': 0.00725781265646, 'dan': 0.333135187626, 'hip': 0.460712462664, 'jaz': 0.0100290048867, 'pop': 0.0474950484931, 'rhy': 0.116975463927, 'roc': 0.012272448279, 'spe': 0.0121225845069}","{'Cluster1': 0.0836744084954, 'Cluster2': 0.0602276399732, 'Cluster3': 0.359222382307, 'Cluster4': 0.0434391871095, 'Cluster5': 0.453436374664}","{'bright': 0.280523210764, 'dark': 0.719476759434}","{'instrumental': 0.0121681448072, 'voice': 0.987831830978}",0.923902094364,137.917999268
['How crazy'],['YUI'],['CAN’T BUY MY LOVE'],"{'danceable': 0.653736770153, 'not_danceable': 0.346263229847}","{'cla': 0.0223156809807, 'dan': 0.00778322294354, 'hip': 0.00764015782624, 'jaz': 0.0233499258757, 'pop': 0.275065928698, 'rhy': 0.168387591839, 'roc': 0.49337425828, 'spe': 0.00208323681727}","{'Cluster1': 0.177967697382, 'Cluster2': 0.287854850292, 'Cluster3': 0.119298815727, 'Cluster4': 0.146322235465, 'Cluster5': 0.268556386232}","{'bright': 0.854359030724, 'dark': 0.145640969276}","{'instrumental': 0.307927191257, 'voice': 0.692072808743}",0.876766324043,122.13772583
['By Your Side'],['Default'],['The Fallout'],"{'danceable': 0.0317744538188, 'not_danceable': 0.968225538731}","{'cla': 0.000159594870638, 'dan': 0.00558656221256, 'hip': 0.00109293230344, 'jaz': 8.25837414595e-05, 'pop': 0.00707665737718, 'rhy': 0.00483752926812, 'roc': 0.981049358845, 'spe': 0.000114759655844}","{'Cluster1': 0.215605393052, 'Cluster2': 0.146804615855, 'Cluster3': 0.123961545527, 'Cluster4': 0.0615183860064, 'Cluster5': 0.452110052109}","{'bright': 0.988302648067, 'dark': 0.0116973668337}","{'instrumental': 0.0383524037898, 'voice': 0.961647570133}",0.956387042999,161.75012207
['Henning Trøen'],['Sven Nyhus sekstett'],['grimen'],"{'danceable': 0.875164151192, 'not_danceable': 0.124835833907}","{'cla': 0.893808841705, 'dan': 0.00629184348509, 'hip': 0.00665914965793, 'jaz': 0.04307603091, 'pop': 0.0132506713271, 'rhy': 0.0188436526805, 'roc': 0.00778693333268, 'spe': 0.0102828564122}","{'Cluster1': 0.162110969424, 'Cluster2': 0.327765166759, 'Cluster3': 0.175931990147, 'Cluster4': 0.196057394147, 'Cluster5': 0.138134464622}","{'bright': 0.995845973492, 'dark': 0.00415402557701}","{'instrumental': 0.999996602535, 'voice': 3.40162773682e-06}",0.91463804245,129.313980103
['Dead Cell (live)'],['Papa Roach'],['Time for Annihilation: On the Record & On the Road'],"{'danceable': 0.0434595756233, 'not_danceable': 0.95654040575}","{'cla': 9.61249315878e-05, 'dan': 0.0697110518813, 'hip': 0.00841446314007, 'jaz': 0.000485906522954, 'pop': 0.0219559185207, 'rhy': 0.0016065913951, 'roc': 0.897618055344, 'spe': 0.00011187850032}","{'Cluster1': 0.070290222764, 'Cluster2': 0.0357138551772, 'Cluster3': 0.0604765228927, 'Cluster4': 0.0290278997272, 'Cluster5': 0.804491519928}","{'bright': 0.0598257742822, 'dark': 0.940174221992}","{'instrumental': 0.236415192485, 'voice': 0.763584792614}",0.97919511795,98.9124679565
['Real Estate'],['Cypress Hill'],['Cypress Hill'],"{'danceable': 0.99638646841, 'not_danceable': 0.00361353578046}","{'cla': 0.00334337633103, 'dan': 0.0415145307779, 'hip': 0.883768975735, 'jaz': 0.00671695778146, 'pop': 0.0164288431406, 'rhy': 0.0242944434285, 'roc': 0.0202606841922, 'spe': 0.00367217650637}","{'Cluster1': 0.0809109807014, 'Cluster2': 0.100765392184, 'Cluster3': 0.134240463376, 'Cluster4': 0.225685760379, 'Cluster5': 0.458397418261}","{'bright': 0.215042203665, 'dark': 0.784957766533}","{'instrumental': 0.719680964947, 'voice': 0.280319005251}",0.943707466125,109.125083923
['Green Light'],['Jamie Lidell'],['Jim'],"{'danceable': 0.990357279778, 'not_danceable': 0.00964273512363}","{'cla': 0.0123173845932, 'dan': 0.0718705505133, 'hip': 0.15457996726, 'jaz': 0.247638866305, 'pop': 0.19459028542, 'rhy': 0.270863503218, 'roc': 0.0366569459438, 'spe': 0.0114824920893}","{'Cluster1': 0.156525328755, 'Cluster2': 0.225173085928, 'Cluster3': 0.285454422235, 'Cluster4': 0.216410890222, 'Cluster5': 0.11643627286}","{'bright': 0.680449724197, 'dark': 0.319550275803}","{'instrumental': 0.75944507122, 'voice': 0.240554943681}",0.944326937199,101.54473877
['Chains and Pounding Hooves'],['Tephra'],['Tempel'],"{'danceable': 0.559256970882, 'not_danceable': 0.440743029118}","{'cla': 0.000291204778478, 'dan': 0.000398292846512, 'hip': 0.000520755827893, 'jaz': 0.000257157662418, 'pop': 0.00332587654702, 'rhy': 0.00010749422654, 'roc': 0.994974792004, 'spe': 0.000124400437926}","{'Cluster1': 0.0983294770122, 'Cluster2': 0.0660241693258, 'Cluster3': 0.379850447178, 'Cluster4': 0.116510137916, 'Cluster5': 0.339285761118}","{'bright': 0.0700491070747, 'dark': 0.929950892925}","{'instrumental': 0.0483756735921, 'voice': 0.951624333858}",0.914874136448,109.298034668
